Name, Sem-1, Sem-2, Sem-3, Sem-4, Sem-5, Sem-6, Sem-7, Sem-8, CGPA
220042101, 3.91, 3.69, , , , , , , 3.80
220042102, 4.00, 3.88, , , , , , , 3.94
220042103, 3.89, 3.17, , , , , , , 3.53
220042105, 3.68, 3.12, , , , , , , 3.40
220042106, 3.68, 3.72, , , , , , , 3.70
220042107, 3.66, 3.23, , , , , , , 3.44
220042108, 3.75, 3.57, , , , , , , 3.66
220042109, 3.07, 2.67, , , , , , , 2.87
220042110, 3.56, 3.14, , , , , , , 3.35
220042111, 3.27, 3.61, , , , , , , 3.44
220042114, 3.77, 3.62, , , , , , , 3.69
220042115, 3.67, 3.42, , , , , , , 3.55
220042116, 3.80, 3.24, , , , , , , 3.52
220042117, 3.15, 2.81, , , , , , , 2.98
220042118, 3.19, 2.53, , , , , , , 2.86
220042119, 3.72, 3.61, , , , , , , 3.66
220042120, 3.62, 2.76, , , , , , , 3.19
220042121, 3.76, 3.53, , , , , , , 3.64
220042122, 3.44, 3.10, , , , , , , 3.27
220042123, 3.97, 3.85, , , , , , , 3.91
220042124, 3.21, 3.09, , , , , , , 3.15
220042126, 3.73, 2.90, , , , , , , 3.31
220042127, 3.03, 0.00, , , , , , , 0.00
220042128, 3.80, 3.81, , , , , , , 3.80
220042129, 3.70, 3.47, , , , , , , 3.58
220042130, 3.02, 0.00, , , , , , , 0.00
220042131, 3.76, 3.47, , , , , , , 3.62
220042132, 3.78, 3.47, , , , , , , 3.62
220042134, 3.79, 3.18, , , , , , , 3.48
220042135, 4.00, 4.00, , , , , , , 4.00
220042136, 3.26, 2.69, , , , , , , 2.97
220042137, 3.95, 3.54, , , , , , , 3.75
220042140, 3.90, 3.98, , , , , , , 3.94
220042141, 2.89, 0.00, , , , , , , 0.00
220042142, 3.29, 2.84, , , , , , , 3.06
220042144, 4.00, 3.99, , , , , , , 4.00
220042145, 3.18, 3.12, , , , , , , 3.15
220042146, 3.93, 3.83, , , , , , , 3.88
220042147, 0.00, 2.64, , , , , , , 0.00
220042148, 4.00, 3.89, , , , , , , 3.95
220042149, 3.11, 0.00, , , , , , , 0.00
220042150, 2.99, 3.37, , , , , , , 3.18
220042151, 3.42, 3.06, , , , , , , 3.24
220042152, 3.43, 0.00, , , , , , , 0.00
220042153, 3.84, 2.92, , , , , , , 3.38
220042155, 3.59, 3.52, , , , , , , 3.56
220042156, 2.95, 3.07, , , , , , , 3.01
220042157, 3.13, 2.93, , , , , , , 3.03
220042158, 3.45, 3.25, , , , , , , 3.35
220042160, 3.90, 3.45, , , , , , , 3.67
220042161, 3.97, 3.88, , , , , , , 3.92
220042162, 4.00, 3.83, , , , , , , 3.92
220042163, 3.85, 3.27, , , , , , , 3.56
220042164, 3.84, 3.40, , , , , , , 3.61
220042165, 3.00, 2.69, , , , , , , 2.85
220042166, 3.43, 3.04, , , , , , , 3.24
220042167, 3.21, 2.81, , , , , , , 3.01
220042168, 3.57, 0.00, , , , , , , 0.00
